column_name,pearson_correlation
radius_mean,0.7300285113754558
texture_mean,0.41518529984520364
perimeter_mean,0.742635529725832
area_mean,0.7089838365853891
smoothness_mean,0.3585599650859316
compactness_mean,0.5965336775082525
concavity_mean,0.6963597071719048
concave_points_mean,0.7766138400204349
symmetry_mean,0.33049855426254654
fractal_dimension_mean,-0.012837602698432364
radius_se,0.5671338208247166
texture_se,-0.008303332973877427
perimeter_se,0.5561407034314825
area_se,0.5482359402780237
smoothness_se,-0.06701601057948728
compactness_se,0.2929992442488581
concavity_se,0.25372976598083014
concave_points_se,0.40804233271650414
symmetry_se,-0.006521755870647961
fractal_dimension_se,0.077972417390256
radius_worst,0.7764537785950386
texture_worst,0.45690282139679755
perimeter_worst,0.7829141371737584
area_worst,0.7338250349210504
smoothness_worst,0.421464861066402
compactness_worst,0.5909982378417913
concavity_worst,0.6596102103692325
concave_points_worst,0.7935660171412687
symmetry_worst,0.41629431104861886
fractal_dimension_worst,0.32387218872082346
