column_name,attribute
radius_mean,25.22
radius_mean,22.27
radius_mean,24.25
radius_mean,23.27
radius_mean,27.22
radius_mean,23.29
radius_mean,28.11
radius_mean,23.21
radius_mean,23.51
radius_mean,25.73
radius_mean,22.01
radius_mean,27.42
radius_mean,23.09
radius_mean,24.63
texture_mean,32.47
texture_mean,33.81
texture_mean,39.28
texture_mean,33.56
texture_mean,31.12
texture_mean,30.72
texture_mean,30.62
perimeter_mean,171.5
perimeter_mean,152.8
perimeter_mean,166.2
perimeter_mean,152.1
perimeter_mean,182.1
perimeter_mean,158.9
perimeter_mean,188.5
perimeter_mean,153.5
perimeter_mean,155.1
perimeter_mean,174.2
perimeter_mean,186.9
perimeter_mean,152.1
perimeter_mean,165.5
area_mean,1404.0
area_mean,1878.0
area_mean,1509.0
area_mean,1761.0
area_mean,1686.0
area_mean,2250.0
area_mean,1685.0
area_mean,2499.0
area_mean,1670.0
area_mean,1364.0
area_mean,1419.0
area_mean,1491.0
area_mean,1747.0
area_mean,2010.0
area_mean,1546.0
area_mean,1482.0
area_mean,1386.0
area_mean,1335.0
area_mean,1407.0
area_mean,1384.0
area_mean,2501.0
area_mean,1682.0
area_mean,1841.0
area_mean,1347.0
area_mean,1479.0
smoothness_mean,0.1425
smoothness_mean,0.1398
smoothness_mean,0.1447
smoothness_mean,0.1634
smoothness_mean,0.1371
smoothness_mean,0.05263
compactness_mean,0.2776
compactness_mean,0.2839
compactness_mean,0.2396
compactness_mean,0.2458
compactness_mean,0.2293
compactness_mean,0.3454
compactness_mean,0.2665
compactness_mean,0.2768
compactness_mean,0.2867
compactness_mean,0.2832
compactness_mean,0.2413
compactness_mean,0.3114
compactness_mean,0.2364
compactness_mean,0.2363
compactness_mean,0.2576
compactness_mean,0.277
concavity_mean,0.3001
concavity_mean,0.313
concavity_mean,0.3754
concavity_mean,0.3339
concavity_mean,0.4264
concavity_mean,0.3003
concavity_mean,0.4268
concavity_mean,0.4108
concavity_mean,0.2871
concavity_mean,0.3523
concavity_mean,0.3201
concavity_mean,0.3176
concavity_mean,0.2914
concavity_mean,0.3368
concavity_mean,0.3189
concavity_mean,0.3635
concavity_mean,0.3174
concavity_mean,0.3514
concave_points_mean,0.1604
concave_points_mean,0.1845
concave_points_mean,0.1823
concave_points_mean,0.2012
concave_points_mean,0.1878
concave_points_mean,0.162
concave_points_mean,0.1595
concave_points_mean,0.1913
concave_points_mean,0.1562
concave_points_mean,0.1689
symmetry_mean,0.2597
symmetry_mean,0.2521
symmetry_mean,0.304
symmetry_mean,0.2743
symmetry_mean,0.2906
symmetry_mean,0.2556
symmetry_mean,0.2655
symmetry_mean,0.2678
symmetry_mean,0.254
symmetry_mean,0.2548
symmetry_mean,0.2495
symmetry_mean,0.2595
symmetry_mean,0.2569
symmetry_mean,0.2538
symmetry_mean,0.106
fractal_dimension_mean,0.09744
fractal_dimension_mean,0.08243
fractal_dimension_mean,0.08046
fractal_dimension_mean,0.0898
fractal_dimension_mean,0.08142
fractal_dimension_mean,0.08261
fractal_dimension_mean,0.09296
fractal_dimension_mean,0.08116
fractal_dimension_mean,0.08104
fractal_dimension_mean,0.08743
fractal_dimension_mean,0.0845
fractal_dimension_mean,0.0795
fractal_dimension_mean,0.09502
fractal_dimension_mean,0.09575
fractal_dimension_mean,0.07976
radius_se,1.095
radius_se,0.9555
radius_se,1.046
radius_se,0.8529
radius_se,1.214
radius_se,0.9811
