column_name,quantile_range_0.1
radius_mean,10.26
texture_mean,14.078
perimeter_mean,65.83
area_mean,321.6
smoothness_mean,0.08
compactness_mean,0.05
concavity_mean,0.014
concave_points_mean,0.011
symmetry_mean,0.15
fractal_dimension_mean,0.055
radius_se,0.183
texture_se,0.64
perimeter_se,1.28
area_se,13.16
smoothness_se,0.004
compactness_se,0.009
concavity_se,0.008
concave_points_se,0.005
symmetry_se,0.013
fractal_dimension_se,0.002
radius_worst,11.234
texture_worst,17.8
perimeter_worst,72.178
area_worst,384.72
smoothness_worst,0.103
compactness_worst,0.094
concavity_worst,0.046
concave_points_worst,0.038
symmetry_worst,0.226
fractal_dimension_worst,0.066
